lon,lat,residents,age_0_24,age_25_64,dwellings
-8.273057,41.52768,42,10,25,17
-8.269715,41.529298,37,10,20,13
-8.325921,41.529496,31,8,19,11
-8.34249,41.52872,31,9,17,12
-8.279971,41.526764,20,4,9,8
-8.317615,41.526714,2,0,2,1
-8.302951,41.529018,46,13,22,16
-8.326113,41.525222,68,14,38,24
-8.349846,41.523638,11,2,5,4
-8.270903,41.526828,29,6,14,13
-8.301179,41.525529,90,28,52,30
-8.307648,41.465512,67,16,33,24
-8.303011,41.466022,31,9,14,10
-8.280588,41.466127,101,24,60,39
-8.316525,41.465046,86,25,47,30
-8.267782,41.466133,123,34,76,47
-8.328466,41.46686,87,26,48,30
-8.334844,41.46624,74,17,38,26
-8.280132,41.46761,82,20,42,27
-8.282959,41.467632,73,16,37,29
-8.27646,41.468017,67,17,46,30
-8.321301,41.466706,38,14,19,13
-8.292965,41.467369,46,12,25,14
-8.340362,41.466915,37,6,15,14
-8.363201,41.464044,75,21,44,26
-8.360351,41.466809,3,1,1,1
-8.285659,41.468125,84,18,45,29
-8.377115,41.466466,46,15,21,16
-8.270975,41.479672,123,33,66,41
-8.25069,41.479661,75,19,36,25
-8.3461,41.480354,492,163,309,173
-8.256694,41.453025,32,11,18,11
-8.291557,41.452919,36,4,22,17
-8.282476,41.454194,322,90,212,127
-8.260994,41.454698,73,15,36,29
-8.293179,41.454594,5,0,1,3
-8.29924,41.453462,83,25,47,27
-8.299812,41.453465,145,28,65,65
-8.287364,41.453293,236,64,155,98
-8.33325,41.454779,12,2,6,4
-8.270891,41.455302,48,10,21,17
-8.274769,41.455057,26,2,14,11
-8.323301,41.449501,41,8,21,14
-8.278696,41.454471,352,98,210,133
-8.293497,41.455207,39,10,23,14
-8.305358,41.454231,234,66,139,80
-8.261606,41.433533,36,10,23,13
-8.287715,41.437099,80,22,41,32
-8.231525,41.43436,64,15,37,25
-8.291721,41.438306,135,20,75,66
-8.34837,41.437194,38,11,17,14
-8.2645,41.478419,147,32,100,59
-8.318177,41.480516,62,27,33,17
-8.30492,41.47789,2,0,1,1
-8.256641,41.472108,112,32,68,39
-8.290357,41.472869,18,5,12,7
-8.354544,41.473454,54,12,26,20
-8.334495,41.472165,26,3,18,9
-8.223177,41.471957,36,9,23,12
-8.355881,41.473122,76,18,46,25
-8.343591,41.473628,74,20,40,20
-8.321291,41.473064,86,21,49,27
-8.384056,41.452073,28,7,20,11
-8.197781,41.558928,0,0,0,0
-8.198397,41.561719,21,7,8,7
-8.202144,41.563032,14,2,5,6
-8.195553,41.565719,9,1,5,3
-8.197017,41.567443,6,0,2,4
-8.26387,41.427282,30,7,14,11
-8.296447,41.429282,224,58,118,76
-8.294732,41.430004,47,12,24,16
-8.298394,41.429185,79,14,39,35
-8.283064,41.428456,53,10,32,19
-8.25419,41.428831,38,11,24,12
-8.311351,41.429473,99,20,54,34
-8.324491,41.429566,77,16,43,30
-8.327138,41.427871,80,25,47,22
-8.28414,41.462781,61,16,37,22
-8.349259,41.463732,63,12,30,26
-8.310479,41.464028,50,12,26,17
-8.249944,41.462439,34,11,15,11
-8.292405,41.462469,87,21,50,36
-8.367524,41.516029,63,18,39,22
-8.301274,41.518231,0,0,0,0
-8.349099,41.517299,48,15,25,15
-8.358915,41.50375,62,18,35,22
-8.286749,41.50207,10,2,8,3
-8.319713,41.505385,64,15,39,24
-8.311858,41.503213,39,11,24,11
-8.388851,41.505112,3,0,1,2
-8.31718,41.504498,64,13,36,21
-8.244156,41.409127,33,6,21,14
-8.366285,41.409744,51,13,30,15
-8.292516,41.409936,77,8,52,29
